"Country";"Region";"Year";"Birth Rate";"Business Tax Rate";"CO2 Emissions";"Days to Start Business";"Ease of Business";"Energy Usage";"GDP";"Health Exp % GDP";"Health Exp/Capita";"Hours to do Tax";"Infant Mortality Rate";"Internet Usage";"Lending Interest";"Life Expectancy Female";"Life Expectancy Male";"Mobile Phone Usage";"Number of Records";"Population 0-14";"Population 15-64";"Population 65+";"Population Total";"Population Urban";"Tourism Inbound";"Tourism Outbound";"id"
"Algeria";"Africa";"12/1/2000";"0.02";"";"87931.00";"19.2308";"";"26998.00";"54790058957.00";"0.04";"60.00";"";"0.034";"0.00";"0.100";"71";"67";"0.00";"1.00";"0.342";"0.62";"0.04";"31719449.00";"0.60";"102000000.00";"193000000.00";1
"Angola";"Africa";"12/1/2000";"0.05";"";"9542.00";"71.4615";"";"7499.00";"9129594819.00";"0.03";"22.00";"";"0.128";"0.00";"1.032";"47";"44";"0.00";"1.00";"0.476";"0.50";"0.03";"13924930.00";"0.32";"34000000.00";"146000000.00";2
"Benin";"Africa";"12/1/2000";"0.04";"";"1617.00";"23.3846";"";"1983.00";"2359122303.00";"0.04";"15.00";"";"0.090";"0.00";"";"57";"53";"0.00";"1.00";"0.454";"0.52";"0.03";"6949366.00";"0.38";"77000000.00";"50000000.00";3
"Botswana";"Africa";"12/1/2000";"0.03";"";"4276.00";"65.5385";"";"1836.00";"5788311645.00";"0.05";"152.00";"";"0.054";"0.00";"0.155";"52";"49";"0.10";"1.00";"0.383";"0.59";"0.03";"1755375.00";"0.53";"227000000.00";"209000000.00";4
"Burkina Faso";"Africa";"12/1/2000";"0.05";"";"1041.00";"18.6154";"";"";"2610959139.00";"0.05";"12.00";"";"0.096";"0.00";"";"52";"49";"0.00";"1.00";"0.468";"0.51";"0.03";"11607944.00";"0.18";"23000000.00";"30000000.00";5
"Burundi";"Africa";"12/1/2000";"0.04";"";"301.00";"9.61539";"";"";"870486066.00";"0.06";"7.00";"";"0.092";"0.00";"0.158";"49";"47";"0.00";"1.00";"0.490";"0.48";"0.03";"6674286.00";"0.08";"1400000.00";"14000000.00";6
"Cameroon";"Africa";"12/1/2000";"0.04";"";"3432.00";"26.1538";"";"6310.00";"9287367569.00";"0.04";"26.00";"";"0.093";"0.00";"0.220";"53";"51";"0.00";"1.00";"0.453";"0.51";"0.03";"15927713.00";"0.46";"132000000.00";"241000000.00";7
"Central African Republic";"Africa";"12/1/2000";"0.04";"";"268.00";"17.0769";"";"";"914500332.00";"0.04";"11.00";"";"0.113";"0.00";"0.220";"45";"42";"0.00";"1.00";"0.423";"0.54";"0.04";"3638316.00";"0.38";"5000000.00";"33000000.00";8
"Chad";"Africa";"12/1/2000";"0.05";"";"176.00";"48.3846";"";"";"1385058212.00";"0.06";"10.00";"";"0.106";"0.00";"0.220";"48";"46";"0.00";"1.00";"0.490";"0.48";"0.03";"8301151.00";"0.22";"14000000.00";"56000000.00";9
"Comoros";"Africa";"12/1/2000";"0.04";"";"84.00";"13.5385";"";"";"201899884.00";"0.04";"13.00";"";"0.073";"0.00";"0.120";"59";"56";"";"1.00";"0.415";"0.55";"0.03";"528312.00";"0.28";"15000000.00";"";10
"Congo, Dem. Rep.";"Africa";"12/1/2000";"0.05";"";"1646.00";"89.6154";"";"16679.00";"19088046305.00";"0.05";"14.00";"";"0.115";"0.00";"";"48";"45";"0.00";"1.00";"0.464";"0.51";"0.03";"46949244.00";"0.35";"";"";11
"Congo, Rep.";"Africa";"12/1/2000";"0.04";"";"1049.00";"76.1538";"";"814.00";"3219910666.00";"0.02";"22.00";"";"0.077";"0.00";"0.220";"53";"51";"0.00";"1.00";"0.419";"0.55";"0.04";"3126204.00";"0.59";"12400000.00";"59000000.00";12
"Cote d'Ivoire";"Africa";"12/1/2000";"0.04";"";"6791.00";"33.3846";"";"6734.00";"10417060605.00";"0.07";"42.00";"";"0.100";"0.00";"";"47";"46";"0.00";"1.00";"0.421";"0.55";"0.03";"16131332.00";"0.44";"53000000.00";"291000000.00";13
"Djibouti";"Africa";"12/1/2000";"0.03";"";"403.00";"22.7692";"";"";"551230862.00";"0.06";"44.00";"";"0.080";"0.00";"";"59";"55";"0.00";"1.00";"0.414";"0.56";"0.03";"722887.00";"0.77";"8100000.00";"14800000.00";14
"Egypt, Arab Rep.";"Africa";"12/1/2000";"0.03";"";"141326.00";"12.6923";"";"40658.00";"99838540997.00";"0.05";"79.00";"";"0.036";"0.00";"0.132";"71";"66";"0.00";"1.00";"0.354";"0.59";"0.05";"66136590.00";"0.43";"4657000000.00";"1206000000.00";15
"Equatorial Guinea";"Africa";"12/1/2000";"0.04";"";"455.00";"83.2308";"";"";"1045998534.00";"0.02";"57.00";"";"0.099";"0.00";"0.220";"49";"46";"0.00";"1.00";"0.426";"0.54";"0.04";"518179.00";"0.39";"5000000.00";"19000000.00";16
"Eritrea";"Africa";"12/1/2000";"0.04";"";"609.00";"57.4615";"";"708.00";"706370812.00";"0.05";"7.00";"";"0.058";"0.00";"";"58";"54";"";"1.00";"0.470";"0.51";"0.02";"3939348.00";"0.18";"36000000.00";"";17
"Ethiopia";"Africa";"12/1/2000";"0.04";"";"5831.00";"17.5385";"";"25242.00";"8091384891.00";"0.04";"5.00";"";"0.090";"0.00";"0.109";"53";"51";"0.00";"1.00";"0.466";"0.50";"0.03";"66024199.00";"0.15";"205000000.00";"80000000.00";18
"Gabon";"Africa";"12/1/2000";"0.03";"";"1052.00";"35.0769";"";"1463.00";"5067865503.00";"0.03";"118.00";"";"0.056";"0.00";"0.220";"61";"59";"0.10";"1.00";"0.406";"0.54";"0.06";"1225527.00";"0.80";"99000000.00";"183000000.00";19
"Gambia, The";"Africa";"12/1/2000";"0.05";"";"275.00";"17";"";"";"782913866.00";"0.05";"29.00";"";"0.063";"0.00";"0.240";"56";"54";"0.00";"1.00";"0.459";"0.51";"0.03";"1228863.00";"0.48";"";"";20
